date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-06-08;24;Chile; 1,1025709;1,05999741; 1,1467978
2020-06-09;24;Chile; 1,0777569;1,04151144; 1,1184773
2020-06-10;24;Chile; 1,0826520;1,05377686; 1,1176456
2020-06-11;24;Chile; 1,0805777;1,05260938; 1,1126194
2020-06-12;24;Chile; 1,1117763;1,08363251; 1,1425339
2020-06-13;24;Chile; 1,1257377;1,08947977; 1,1591585
2020-06-14;24;Chile; 1,1319937;1,08929917; 1,1706259
2020-06-15;25;Chile; 1,0994954;1,05448184; 1,1417165
2020-06-16;25;Chile; 1,0979469;1,06023911; 1,1390790
2020-06-17;25;Chile; 1,0743708;1,03999760; 1,1122836
2020-06-18;25;Chile; 1,0543242;1,02619285; 1,0873519
2020-06-19;25;Chile; 1,0701185;1,04814370; 1,0975254
2020-06-20;25;Chile; 1,0578383;1,03497005; 1,0829539
2020-06-21;25;Chile; 1,0340920;1,01373707; 1,0568089
2020-06-22;26;Chile; 1,0241962;1,00896230; 1,0430118
2020-06-23;26;Chile; 1,0168850;1,00445302; 1,0315317
2020-06-24;26;Chile; 0,9850887;0,97445812; 0,9969899
2020-06-25;26;Chile; 0,9730272;0,96260382; 0,9841340
2020-06-26;26;Chile; 0,9443862;0,93245070; 0,9584403
2020-06-27;26;Chile; 0,9244717;0,90842684; 0,9458613
2020-06-28;26;Chile; 0,8999294;0,87884488; 0,9277387
2020-06-29;27;Chile; 0,9007285;0,87327644; 0,9367870
2020-06-30;27;Chile; 0,8958289;0,86423234; 0,9330957
2020-07-01;27;Chile; 0,8840565;0,85043871; 0,9216259
2020-07-02;27;Chile; 0,8752101;0,83974853; 0,9158208
2020-07-03;27;Chile; 0,8557013;0,81894787; 0,8978134
2020-07-04;27;Chile; 0,8551950;0,81499918; 0,9030278
2020-07-05;27;Chile; 0,8500263;0,80756799; 0,8984024
2020-07-06;28;Chile; 0,8500628;0,80560655; 0,8994450
2020-07-07;28;Chile; 0,8538257;0,80834961; 0,9034964
2020-07-08;28;Chile; 0,8523289;0,80711354; 0,9004477
2020-07-09;28;Chile; 0,8511828;0,80630664; 0,8988239
2020-07-10;28;Chile; 0,8545616;0,80918661; 0,9024222
